subject,rotating,correct,rotate,swap,K1,K2,K
1,FALSE,1,NA,0.833333333333333,1.29843788128358,7.70156211871642,1.29843788128358
1,TRUE,0.708333333333333,0.666666666666667,0.75,0.659427126065696,8.3405728739343,0.659427126065696
2,FALSE,0.916666666666667,NA,0.5,0.594875162046673,8.40512483795333,0.594875162046673
2,TRUE,0.791666666666667,0.833333333333333,0.416666666666667,0.28692511341182,8.71307488658818,0.28692511341182
4,FALSE,0.916666666666667,NA,0.333333333333333,0.346688068540963,8.65331193145904,0.346688068540963
4,TRUE,0.666666666666667,0.0833333333333333,0.416666666666667,0.112517806303939,8.88748219369606,0.112517806303939
5,FALSE,0.583333333333333,NA,0.166666666666667,-0.321825380496477,9.32182538049648,-0.321825380496477
5,TRUE,0.583333333333333,0.666666666666667,0.416666666666667,0,9,0
6,FALSE,1,NA,0,0,9,0
6,TRUE,0.75,0.416666666666667,0.333333333333333,0.112517806303939,8.88748219369606,0.112517806303939
7,FALSE,0.75,NA,0.333333333333333,0.112517806303939,8.88748219369606,0.112517806303939
7,TRUE,0.791666666666667,0.75,0.416666666666667,0.28692511341182,8.71307488658818,0.28692511341182
8,FALSE,0.833333333333333,NA,0,-0.216990566028302,9.2169905660283,-0.216990566028302
8,TRUE,0.5,0.583333333333333,0.416666666666667,-0.109772228646444,9.10977222864644,-0.109772228646444
9,FALSE,1,NA,1,1.62771867673099,7.37228132326901,1.62771867673099
9,TRUE,0.75,0.583333333333333,0.75,0.725082782364625,8.27491721763537,0.725082782364625
10,FALSE,0.833333333333333,NA,0.166666666666667,0,9,0
10,TRUE,0.875,0.75,0.416666666666667,0.407323614063775,8.59267638593623,0.407323614063775
11,FALSE,0.916666666666667,NA,0.166666666666667,0.112517806303939,8.88748219369606,0.112517806303939
11,TRUE,0.541666666666667,0.583333333333333,0.666666666666667,0.28692511341182,8.71307488658818,0.28692511341182
12,FALSE,1,NA,1,1.62771867673099,7.37228132326901,1.62771867673099
12,TRUE,0.791666666666667,0.333333333333333,0.666666666666667,0.659427126065696,8.3405728739343,0.659427126065696
13,FALSE,0.916666666666667,NA,0.5,0.594875162046673,8.40512483795333,0.594875162046673
13,TRUE,0.416666666666667,0.583333333333333,0.75,0.227998127341235,8.77200187265877,0.227998127341235
14,FALSE,0.833333333333333,NA,0.333333333333333,0.227998127341235,8.77200187265877,0.227998127341235
14,TRUE,0.458333333333333,0.5,0.166666666666667,-0.4749371855331,9.4749371855331,-0.4749371855331
15,FALSE,0.916666666666667,NA,0.5,0.594875162046673,8.40512483795333,0.594875162046673
15,TRUE,0.458333333333333,0.5,0.5,-0.0552167895721496,9.05521678957215,-0.0552167895721496
18,FALSE,0.666666666666667,NA,0.833333333333333,0.725082782364625,8.27491721763537,0.725082782364625
18,TRUE,0.458333333333333,0.583333333333333,0.333333333333333,-0.269696007084728,9.26969600708473,-0.269696007084728
19,FALSE,0.916666666666667,NA,0.666666666666667,0.859945055359741,8.14005494464026,0.859945055359741
19,TRUE,0.75,0.25,0.416666666666667,0.227998127341235,8.77200187265877,0.227998127341235
20,FALSE,0.916666666666667,NA,0.5,0.594875162046673,8.40512483795333,0.594875162046673
20,TRUE,0.875,0.583333333333333,0.833333333333333,1.07217269979948,7.92782730020052,1.07217269979948
22,FALSE,0.916666666666667,NA,0.833333333333333,1.14589803375032,7.85410196624968,1.14589803375032
22,TRUE,0.875,0.75,0.833333333333333,1.07217269979948,7.92782730020052,1.07217269979948
23,FALSE,1,NA,0.5,0.725082782364625,8.27491721763537,0.725082782364625
23,TRUE,0.833333333333333,0.75,0.833333333333333,1,8,1
24,FALSE,0.666666666666667,NA,0.333333333333333,0,9,0
24,TRUE,0.583333333333333,0.5,0.5,0.112517806303939,8.88748219369606,0.112517806303939
26,FALSE,0.916666666666667,NA,0.666666666666667,0.859945055359741,8.14005494464026,0.859945055359741
26,TRUE,0.791666666666667,0.333333333333333,0.583333333333333,0.531373033403114,8.46862696659689,0.531373033403114
27,FALSE,0.75,NA,0.666666666666667,0.594875162046673,8.40512483795333,0.594875162046673
27,TRUE,0.875,0.333333333333333,0.583333333333333,0.659427126065696,8.3405728739343,0.659427126065696
28,FALSE,0.916666666666667,NA,0.5,0.594875162046673,8.40512483795333,0.594875162046673
28,TRUE,0.833333333333333,0.833333333333333,0.75,0.859945055359741,8.14005494464026,0.859945055359741
29,FALSE,0.916666666666667,NA,0.5,0.594875162046673,8.40512483795333,0.594875162046673
29,TRUE,0.541666666666667,0.25,0.666666666666667,0.28692511341182,8.71307488658818,0.28692511341182
30,FALSE,0.833333333333333,NA,0.5,0.468871125850725,8.53112887414927,0.468871125850725
30,TRUE,0.416666666666667,0.5,0.75,0.227998127341235,8.77200187265877,0.227998127341235
31,FALSE,0.916666666666667,NA,0.666666666666667,0.859945055359741,8.14005494464026,0.859945055359741
31,TRUE,0.75,0.416666666666667,0.75,0.725082782364625,8.27491721763537,0.725082782364625
32,FALSE,0.916666666666667,NA,0.333333333333333,0.346688068540963,8.65331193145904,0.346688068540963
32,TRUE,0.833333333333333,0.416666666666667,0.75,0.859945055359741,8.14005494464026,0.859945055359741
